# {"t_start": 1618171197.100356, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,2731.802113
-50.0,50,2735.986517
-40.0,50,2740.496696
-50.0,50,2746.905666
-50.0,50,2751.876869
-50.0,50,2755.978449
-50.0,50,2756.537915
-50.0,50,2756.957759
-50.0,50,2757.334363
-50.0,50,2757.849736
-50.0,50,2758.338695
-50.0,50,2758.716625
-50.0,50,2759.113451
-11.0,50,2759.501442
-50.0,50,2759.84824
-50.0,50,2760.483876
-50.0,50,2764.738296
-50.0,50,2768.497435
-50.0,50,2772.839016
-50.0,50,2777.228934
-50.0,50,2781.55587
-50.0,50,2785.798035
-50.0,50,2790.329276
-50.0,50,2794.501695
-50.0,50,2798.954619
-50.0,50,2803.262281
-50.0,50,2807.551433
-50.0,50,2811.826024
-50.0,50,2816.207185
-50.0,50,2820.570263
-50.0,50,2824.423246
-50.0,50,2828.550599
-50.0,50,2832.339119
-50.0,50,2836.591664
-50.0,50,2840.921243
-7.0,50,2845.216054
-50.0,50,2849.747131
-50.0,50,2853.795483
-50.0,50,2857.911431
-50.0,50,2862.022253
-50.0,50,2866.348572
-50.0,50,2870.868137
-50.0,50,2875.086226
-50.0,50,2879.873881
-50.0,50,2884.455464
-50.0,50,2888.215648
-48.0,50,2894.313596
-50.0,50,2900.92975
-48.0,50,2905.613485
-50.0,50,2910.904435
-50.0,50,2915.358072
-46.0,50,2919.86657
-50.0,50,2925.901996
-50.0,50,2929.976657
-50.0,50,2934.285386
-50.0,50,2938.660686
-50.0,50,2943.01895
-50.0,50,2947.35162
-50.0,50,2951.654083
-50.0,50,2956.065872
-50.0,50,2960.454264
-50.0,50,2964.603491
-50.0,50,2969.031771
-50.0,50,2973.472403
-50.0,50,2977.759059
0.0,50,2981.999368
-50.0,50,2982.395525
-50.0,50,2982.82824
-33.0,50,2983.292243
-50.0,50,2983.839161
-50.0,50,2984.316149
-50.0,50,2984.696471
-50.0,50,2985.079628
-50.0,50,2985.494471
-50.0,50,2985.957176
-50.0,50,2986.934346
-50.0,50,2991.353128
-12.0,50,2995.336668
-50.0,50,2999.420205
-50.0,50,3003.699607
-50.0,50,3007.835252
-23.0,50,3011.975711
-50.0,50,3016.053712
-50.0,50,3022.720062
-50.0,50,3028.485023
-50.0,50,3034.274134
-50.0,50,3040.165072
-50.0,50,3045.702369
-50.0,50,3051.453038
-50.0,50,3057.525024
-50.0,50,3063.677648
-17.0,50,3070.262575
-48.0,50,3075.688645
-50.0,50,3081.405327
-49.0,50,3086.763768
-50.0,50,3092.519383
-50.0,50,3098.115028
-50.0,50,3103.688178
-22.0,50,3109.163981
-32.0,50,3114.637849
-45.0,50,3120.12371
-38.0,50,3125.839054
-50.0,50,3131.238428
-48.0,50,3136.681457
-50.0,50,3142.117798
-50.0,50,3147.403028
-50.0,50,3152.83791
-50.0,50,3158.579422
-50.0,50,3163.697291
-50.0,50,3168.995342
-50.0,50,3174.301786
-50.0,50,3180.158079
-19.0,50,3185.70839
-50.0,50,3191.122947
-50.0,50,3196.799136
-50.0,50,3202.100983
-27.0,50,3207.360327
-50.0,50,3212.543998
-50.0,50,3217.971129
-41.0,50,3223.48367
-50.0,50,3228.914698
-50.0,50,3234.383171
-50.0,50,3239.839057
-50.0,50,3245.228874
-50.0,50,3250.800303
-50.0,50,3256.282478
-20.0,50,3256.891705
-50.0,50,3257.354452
-50.0,50,3257.839933
-26.0,50,3258.377502
-50.0,50,3258.826772
-50.0,50,3259.241323
-18.0,50,3259.72104
-50.0,50,3260.292735
-50.0,50,3260.784555
-50.0,50,3261.967414
-50.0,50,3267.318372
-50.0,50,3274.428071
-50.0,50,3280.324497
-50.0,50,3285.668278
-50.0,50,3290.97054
0.0,50,3296.382623
-50.0,50,3301.774998
-50.0,50,3307.635547
-50.0,50,3313.221458
-15.0,50,3318.944131
-50.0,50,3324.385324
-50.0,50,3329.701166
-50.0,50,3335.352607
-50.0,50,3340.940064
-48.0,50,3346.119163
-50.0,50,3351.727365
-50.0,50,3357.427754
-50.0,50,3362.612365
-50.0,50,3368.261306
0.0,50,3373.279187
-50.0,50,3378.954639
-50.0,50,3384.534595
-33.0,50,3390.275003
-48.0,50,3395.900362
-50.0,50,3401.766586
-50.0,50,3407.327733
-50.0,50,3413.521019
-50.0,50,3419.12979
-32.0,50,3424.76323
-50.0,50,3430.449868
-45.0,50,3435.808566
-50.0,50,3441.299245
-50.0,50,3446.793082
-50.0,50,3451.62727
-47.0,50,3455.950237
-46.0,50,3460.449436
-50.0,50,3464.739198
-50.0,50,3468.886042
-50.0,50,3473.279932
-14.0,50,3477.680632
-50.0,50,3482.235669
-50.0,50,3487.337024
-50.0,50,3492.714103
-49.0,50,3498.137577
-50.0,50,3504.091881
-50.0,50,3509.002729
-50.0,50,3514.073306
-50.0,50,3518.514333
-50.0,50,3522.927563
-48.0,50,3527.907616
-50.0,50,3528.2889
-50.0,50,3528.701895
-50.0,50,3529.062392
-50.0,50,3529.449146
-50.0,50,3529.857555
-21.0,50,3530.221958
-50.0,50,3530.620619
-14.0,50,3531.110275
-50.0,50,3531.498662
-50.0,50,3532.402722
-50.0,50,3536.455478
-47.0,50,3540.854716
-20.0,50,3545.95617
-50.0,50,3550.391167
-50.0,50,3555.135769
-49.0,50,3559.66826
-50.0,50,3564.212441
-50.0,50,3568.64017
-48.0,50,3573.033769
-50.0,50,3577.543364
0.0,50,3581.884413
-43.0,50,3585.919531
-50.0,50,3590.508065
-50.0,50,3594.835797
-50.0,50,3599.527187
